"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.967973,9.437759,9.419178,8.814936,8.757272,11.698332,10.112567,10.103798,9.446891,9.419244,12.122,10.553923,10.542788,9.941689,9.941649,12.301348,10.739912,10.731807,10.154186,10.133625,97,33,1
10.774693,9.347287,9.324523,8.793919,8.793923,11.500921,10.003703,9.9929,9.417102,9.417114,11.925564,10.449087,10.435851,9.914627,9.91463,12.11201,10.639623,10.630113,10.128613,10.128633,98,33,2
9.956431,9.155191,9.122712,8.714694,8.714695,10.651518,9.771403,9.755969,9.324281,9.291662,11.116616,10.243532,10.225731,9.842089,9.808293,11.403911,10.447205,10.435255,10.061332,10.038671,99,34,0
10.910523,9.372698,9.353069,8.755273,8.694144,11.632462,10.041018,10.031754,9.381804,9.381805,12.070645,10.49888,10.487256,9.893809,9.89379,12.251627,10.68776,10.679284,10.109716,10.10979,100,34,1
10.71517,9.279648,9.255505,8.734051,8.73406,11.433027,9.929705,9.918171,9.351981,9.351968,11.873028,10.392303,10.378458,9.866897,9.866831,12.061045,10.586284,10.576315,10.084478,10.084513,101,34,2
10.180177,9.347762,9.321203,8.862741,8.804622,10.870074,9.963424,9.950861,9.473491,9.473473,11.274626,10.38374,10.368248,9.944777,9.944774,11.553125,10.588221,10.577962,10.164645,10.164655,102,35,0
11.091747,9.564618,9.550972,8.90855,8.908558,11.832188,10.236382,10.229507,9.538427,9.513789,12.257448,10.665414,10.656348,10.008121,9.980402,12.450975,10.861945,10.855245,10.225603,10.206594,103,35,1
10.901429,9.475308,9.45807,8.885118,8.831419,11.634089,10.125652,10.116992,9.505271,9.478844,12.058806,10.552306,10.541311,9.975777,9.946452,12.255917,10.751107,10.743077,10.194367,10.174397,104,35,2
10.362231,9.50963,9.487026,8.990894,8.990895,11.029716,10.11108,10.100329,9.592061,9.591997,11.390349,10.485925,10.471523,10.022224,10.02226,11.663177,10.691085,10.681664,10.242227,10.242229,105,36,0
11.264818,9.72586,9.714476,9.040789,9.04078,11.976854,10.381378,10.375608,9.661014,9.639339,12.362688,10.767448,10.759531,10.089311,10.063866,12.557656,10.964771,10.958768,10.306487,10.289151,106,36,1
11.072782,9.636138,9.621653,9.015364,8.968387,11.779839,10.2717,10.264373,9.626092,9.602679,12.164703,10.654783,10.644954,10.055358,10.028375,12.364551,10.85397,10.846757,10.273886,10.255443,107,36,2
10.330278,9.480599,9.457461,8.967082,8.967083,11.001316,10.085166,10.074066,9.570549,9.570512,11.369904,10.465367,10.451329,10.006687,10.006713,11.652537,10.68176,10.672047,10.235043,10.215869,108,37,0
11.278988,9.722342,9.711168,9.024286,8.980945,11.983489,10.379452,10.373718,9.647771,9.626232,12.372024,10.769747,10.761963,10.081376,10.056072,12.570498,10.972806,10.96685,10.30573,10.28845,109,37,1
11.084589,9.625259,9.610952,8.995501,8.995483,11.785255,10.264278,10.256893,9.609262,9.609234,12.17281,10.652221,10.642524,10.04421,10.044217,12.375302,10.85852,10.851193,10.270372,10.270352,110,37,2
10.028678,9.209951,9.179519,8.738211,8.738201,10.714605,9.822758,9.808397,9.348951,9.317535,11.145363,10.270786,10.253526,9.851277,9.817875,11.448286,10.491481,10.479717,10.083345,10.061259,111,38,0
11.059834,9.482159,9.468279,8.799031,8.745568,11.764524,10.146167,10.139081,9.429219,9.402811,12.20643,10.595496,10.586294,9.926125,9.926118,12.406524,10.800335,10.793651,10.153853,10.1538,112,38,1
10.861318,9.375422,9.357369,8.768594,8.768593,11.563557,10.022429,10.013335,9.389347,9.389375,12.005575,10.471903,10.460399,9.888871,9.888926,12.209541,10.680813,10.672264,10.118576,10.118551,113,38,2
9.982951,9.174138,9.142581,8.722716,8.722723,10.674628,9.786654,9.77185,9.331265,9.299129,11.12394,10.24656,10.228919,9.84002,9.80617,11.414446,10.459912,10.447768,10.066633,10.044125,114,39,0
